incident_date,route,ccil,narrative,found_location,latitude,longitude,postcode
2020-02-07,North West and Central (WCMLS),CCIL 2090455 ,"Fault No. 881119 / At 1641, a member of P’Way staff reported a possible bank slip near Brandon Viaduct, between Rugby and Coventry at 86m 1189 yards. 9G31, Avanti West Coast, 1603 London Euston – Birmingham New Street was utilised to examine the line, with the driver reporting at 1707 that the Up Coventry line was not fit for the passage of trains, but the Down Coventry was passable at caution. A Mobile Operations Manager and P’Way staff were summoned to site. Service reductions were imposed, with some services diverted via the Trent Valley lines and a shuttle service implemented between Birmingham New Street and Coventry. The Mobile Operations Manager and P’Way staff were on site from 1740. An earthworks engineer advised at 1751, that after reviewing photographs from site, that they were satisfied the Up Coventry line could reopen with a 20 mph ESR, subject to the track geometry being within tolerance. At 1814, the Up Coventry line was reopened with a 20mph ESR in place, with the Down Coventry line authorised for line speed, following P’Way staff inspection. The 20 mph ESR remained in place at the close of this Report with a Watchman appointed. Murphys staff have been summoned to undertake a daylight inspection on Saturday 08/02/20 and will be on site from 0700.",Birmingham New Street,52.47819419,-1.898360826,B2 4QA
2020-02-07,Wales and Western (Western),CCIL 2090417 ,"North West and Central (WCMLS) – – CCIL 2090417 At 1510, 2O80, Great Western Railway, 1453 Worcester Foregate Street – Weymouth, activated Eckington Down Fast line WILD with axle 01 LHS wheel flat, 357kN, level 2 alarm. The train was stopped and the driver advised to proceed at 50mph to destination for RST examination. The vehicle, 58745, as per consist, was taken out of traffic. / Eastern (Anglia) – – CCIL 2090327",Wales and Western (Western),,,
2020-02-07,Eastern (Anglia),CCIL 2090327 ,"At 1137 the driver of 6V12, Freightliner, 1054 Chelmsford – Acton Yard, reported a possible dragging brakes on the second and third vehicles back from the locomotive, VTG3457 and VTG3424. The train was held in the Channelsea Loop to allow the driver to examine the train, trapping a number of freight services in rear. A Mobile Operations Manager and fitters were sent to site. 4E25, DB Cargo, 1129 Bow Depot – Heck, which was trapped in rear on the Down Temple Mills line, was moved to the Temple Mills Loop to run round and clear the running lines. By 1213 the driver had been able to release one set of brakes but was unable to release a second set. The fitter arrived on site at 1426 and was able to isolate the affected wagon, allowing the train to continue, 189 mins late.",Eastern (Anglia),,,
2020-02-08,North West and Central (North West),CCIL 2090887 ,"At 1442, the driver of 1P77, TransPennine Express, 1340 Manchester Airport – Redcar Central, reported that signal DE25 on the Down Huddersfield line at Diggle Junction had reverted from green to a single yellow aspect. The signaller reported that DE25 signal should have been displaying a single yellow aspect as the next section was occupied by 9S13, TransPennine Express, 1324 Liverpool Lime Street – Edinburgh Waverley. S&T were advised at 1445, arriving on site at 1559. Non-destructive testing was completed by 1835, with destructive testing due to be carried out after service. The results of which were outstanding as this Report closed.",North West and Central (North West),,,
2020-02-08,Wales and Western (Western),CCIL 2090657 ,"At 1042 5Z16, Rail Operations Group, 1114 Barton Hill Depot – Neville Hill Depot, passed the stop board on the departure line at Barton Hill Depot, stopping on approach to BL6628 GPL signal, which leads onto the Up Filton Relief line, causing signals to revert to danger. The Stop Board instructs the driver to not pass until the signal has been cleared. When questioned, the driver stated that they had been given permission to move up to the signal by the shunter (group 2 cause). After consultation with Rail Operations Group, the driver was judged unfit to continue and the train was returned to the depot.",Barton Hill,54.069871,-0.918861,O60 7JZ
2020-02-08,Eastern (North & East),CCIL 2090954 ,"At 1643, BT Police (ref. 410) advised that they had received a report of a person on the line at Frizinghall. A following service was cautioned, with nothing amiss reported at 1658. However, at 1704 the driver of 2D69, Northern, 1621 Ilkley – Bradford Forster Square, reported a person leaning against the stanchion at Bridge 3, Wharncliffe Road. Concurrently the Mobile Operations Manager, appointed RIO, BT Police (ref. 410) and the West Yorkshire Police (ref. 1237) arrived on site, with the RIO advising that the person appeared to be intoxicated and had sustained an injury to their ankle. In response, all lines were blocked. The person advised that they had fallen and in doing so caused the injury to themselves. The Down line was opened at caution at 1733, with the person contained to the Up side. An ambulance was on site at 1749, with the person removed from the line and into their care at 1802. Trains were signalled normally from 1804, after it was confirmed that all personnel were clear of the line.",Frizinghall,53.81952623,-1.768625862,BD9 4LD
2020-02-08,Southern (Sussex),CCIL 2091122 ,"At 0046 the driver of 2C77, Govia Thameslink Railway, 2353 Seaford – Brighton formed by unit 377703, reported that a passenger had fallen between the platform and train in platform 7 at destination whilst egressing the service, after bumping into another passenger. An ambulance was sent to site to assess the injured party.",Southern (Sussex),,,
2020-02-08,Southern (Wessex),CCIL 2090803 ,"At 1115 the driver of 2P23, South Western Railway, 0945 London Waterloo – Portsmouth & Southsea, reported a near miss at Liss Forest FP crossing, between Liss and Liphook, with a person with a dog standing on the Up line on the crossing as the train passed on the Down line. The driver was fit to continue.",Liss Forest,51.050886,-0.877125,U33 7DQ
2020-02-08,Scotland,CCIL 2090939 ,"Fault No. 349245 / At 1639 the driver of 2H62, ScotRail, 1234 Wick – Inverness, reported a near miss at Foulis R/G Level Crossing between Alness and Dingwall with a road vehicle. The driver was fit to continue and following services were cautioned. A Mobile Operations Manager was sent to site, reporting both crossing gates closed and secured at 1810, thus allowing trains to be signalled normally. The BT Police (ref. 411) were advised.",Alness,57.69437787,-4.249725543,IV17 0SE
2020-02-08,North West and Central (NW),CCIL 2091024 ,"At 2006, it was reported that a person had been observed to run into the single bore tunnel at Moorfields from platform 2 towards Leeds Street Junction. In response, an emergency switch-off was effected by Sandhills ECR, which initially affected Wirral and Northern lines. This resulted in two services becoming trapped between stations (detailed in section 07 of this Report). At 2022 the Wirral line was re-energised. The Northern Mobile Operations Manager was on site at 2030 and inspected the area from Moorfields to Leeds Street Tunnel, with no person found. The Mobile Operations Manager reported at 2047, that upon meeting the BT Police (ref. 595) at Leeds Street Tunnel, they reported seeing no persons in the area. All lines were re-energised, thus allowing trains to be signalled normally.",Leeds Street,53.4093,-2.9907,L2 2QP
2020-02-08,Southern (Wessex),CCIL 2090733 ,"At 0850, 2U17, South Western Railway, 0812 London Waterloo – Windsor & Eton Riverside, formed by units 707025 and 707010, comprising ten coaches in all, overran Syon Lane station by ½ a coach length. It was advised that one door was not accommodated in the platform, with selected door opening utilised. The driver stated that the overrun was due to a loss of concentration and braking slightly late. The driver was fit to continue to Staines where they were relieved of duty.",Southern (Wessex),,,
2020-02-08,North West and Central (NW),CCIL 2090961 ,"At 1720, the driver of 1H36, Avanti West Coast, 1620 London Euston – Manchester Piccadilly reported a rough ride on the Down Main line at Hillmorton Junction. 1S82, Avanti West Coast, 1630 London Euston",Hillmorton,52.3673,-1.2471,CV22 5AJ
2020-02-08,Scotland,CCIL 2090959 ,"Fault No. 349248 / At 1713, Cathcart ECO reported that OLE section DH2 had tripped and was subsequently reset with 2H53, ScotRail, 1522 Edinburgh Waverley – Helensburgh Central in section at Cardross. OLE section DH2 tripped multiple times between 1718 and 1735. The signaller advised at 1740, that ‘245’ axle counter at Craigendoran Junction had failed, but they were able to switch to DC track circuit which then showed clear. Concurrently OLE section DH1 & DH2 both tripped, with the ECO advising that they would not attempt a reset. Services were terminated at Dalreoch and services were terminated/started at Hyndland. A following service examined the line at 1847 and reported that no obvious issues with the OLE, however, sea spray was coming over the sea wall. OLE staff were sent to site and were afforded a Line Blockage at 2140, reporting at 2228 that there were no issues identified with the OLE between Cardross and Craigendoran. OLE section DH2 was re-energised at 2245, with OLE section DH1 planned to be examined within a planned possession. The results of which were outstanding at the close of this Report.",Craigendoran,55.9947777,-4.711231697,G84 7BQ
